,statement,source,t/f status
1957,"Says a CNN headline said, “In And Out is the fast food of white supremacists.”",Viral image,pants-fire
1958,“Atlanta just lost 75% of its police force”,Facebook posts,false
1959,“Trump is in White House! He promises to lock up Hillary!”,Facebook posts,pants-fire
1960,"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""",Thom Tillis,mostly-true
1961,"""There is no such thing as a booster. There is a failed product that is sometimes used again in hopes of a different outcome.”",Viral image,false
1962,“Muslim figure: We must have pork-free menus or we will leave U.S.”,Facebook posts,pants-fire
1963,“Navy SEALs arrested Hillary Clinton.”,Facebook posts,pants-fire
1964,“Alec Baldwin arrested for first-degree murder and possession of child pornography.”,Viral image,pants-fire
1965,"In the United Kingdom, “70-plus percent of the people who die now from COVID are fully vaccinated.”",Alex Berenson,false
1966,Says Marjorie Taylor Greene tweeted: “People can’t really be convicted on such flimsy circumstantial evidence as ‘having a similar gait’ or ‘owning the identical shoes’ or ‘being in DC and not having any alibi for that time’ can they?! I don’t recognize this America.”,Tweets,pants-fire
1967,"The Biden administration ""published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.""",Randy Feenstra,true
1968,Says Jen Psaki said Joe Biden wants to protect “marked people.”,Instagram posts,false
1969,An image of a newspaper article says “True Bethel Baptist Church becomes the first church in NYS to receive a liquor license.”,Instagram posts,pants-fire
1970,The Anti-Defamation League classified “Let’s go Brandon” as hate speech.,Viral image,pants-fire
1971,"Says Donald Trump said, “Alec Baldwin, a total loser, has taken his impression of me to a new low by testing out this theory” by shooting someone.",Viral image,false
1972,"“Three percent is not a modest tax increase, if you own a $100,000 home in the city of Buffalo, that means an extra $300 a year.”",Byron Brown,false
1973,"“If Bezos has 200 billion dollas, and there’s 7 billion people on earth, why can’t we each get a billion and (he’d) be left with 193 billion dollas?”",Instagram posts,pants-fire
1974,Photos show Manila Bay before and during Rodrigo Duterte’s administration.,Viral image,half-true
1975,“79.4% of babies who die of ‘SIDS’ had a vaccine the same day.”,Viral image,false
1976,Says Dr. Anthony Fauci planned the AIDS epidemic.,Instagram posts,pants-fire
1977,"“Biden resigned, Pelosi was detained.”",Viral image,pants-fire
1978,"Photo shows Sheryl Crow wearing a shirt that says, “Keep America Trumpless.”",Viral image,false
1979,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”,Facebook posts,false
1980,“The seasonal cold and flu is actually more dangerous for kids than the Coronavirus” and “there is very low transmissibility from children to their families and communities.”,Tom Tiffany,barely-true
1981,“Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.”,Viral image,false
1982,A White House photographer took a picture of Donald Trump at the White House on Oct. 24.,Facebook posts,false
1983,"With COVID-19, vaccinated people ""are the real threat to"" unvaccinated people.",Instagram posts,false
1984,Democrats are “asking for a blank check book to spend as much as they want without worrying about the repercussions.”,Ashley Hinson,false
1985,“The White House referred to Christmas trees as Holiday Trees for the first time this year.”,Facebook posts,pants-fire
1986,“Australia to Implement Quarantine Camps for the Unvaxed”,The Charlie Kirk Show,false
1987,"Terry McAuliffe has a campaign sign that says, “Keep parents out of classrooms.”",Viral image,false
1988,"“The nation reported adding 194,000 jobs in September, and Florida accounted for 84,500.”",Ron DeSantis,half-true
1989,“COP26 luxury EVs to be recharged using diesel generators”,Bloggers,barely-true
1990,The remains of Brian Laundrie that were discovered in Florida belong to a twin.,Facebook posts,false
1991,“Trump has been reinstated.”,Facebook posts,pants-fire
1992,“Barack Obama signals That Democrats Intend to Cheat in the Virginia Governor’s Election.”,Bloggers,false
1993,The military raided Hunter Biden’s home.,Facebook posts,pants-fire
1994,"“Clintons, Powell, and Hunter Biden have already undergone military tribunals.”",Facebook posts,pants-fire
1995,"Says Rebecca Kleefisch played a key role in the Foxconn deal, “the largest attempted government handout to a foreign company in American history.""",Ben Wikler,mostly-true
1996,"Says Halyna Hutchins tweeted, “I have information that will lead to Hillary Clinton’s arrest.”",Viral image,pants-fire
1997,“Halyna Huchins’ next project was documentary on Hollywood pedophile rings.”,Viral image,pants-fire
1998,“NIH COVID Treatment Guidelines Approve Ivermectin”,Instagram posts,false
1999,"“Gas prices were WAY higher in 2008, under REPUBLICAN president George W. Bush.”",Facebook posts,half-true
2000,"Says he is the ""ranking member"" of the House select committee investigating the Jan. 6 attack on the U.S. Capitol.",Jim Banks,false
2001,Cargo ships “can’t get into port” because of Donald Trump’s executive order 13959.,Instagram posts,false
2002,“There’s been no” TV commercials for the COVID-19 vaccines because “they are required by law to list all adverse side effects.”,Instagram posts,false
2003,We are seeing “the Justice Department treat American parents as domestic terrorists” under the Patriot Act.,Steve Chabot,false
2004,Facebook is changing its hate speech policy to ban “Let’s go Brandon.”,Viral image,false
2005,"A news report quoted Alec Baldwin saying, “How about I just f----- shoot the both of ya?”",Viral image,false
2006,The newly drawn congressional district map in Arkansas “keeps communities together.”,Tom Cotton,barely-true
2007,"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",Facebook posts,true
2008,“Biden flashed the white power sign while a black man was asking him a question.”,Viral image,pants-fire
2009,"Pathologists found ""a host of non-biological components ... in the blood of vaccinated people,” including graphene chips and nanochips.",Bloggers,pants-fire
2010,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,Joe Biden,half-true
2011,"“The Walker-Kleefisch administration slashed $800 million from public schools.""",Democratic Party of Wisconsin,barely-true
2012,"Two forms of fluoride in our drinking water “are so toxic that the CDC clearly labels these chemicals extremely toxic in both animals and humans.""",Instagram posts,false
2013,"""Welcome 2 Pres Biden’s America where inflation is costing households an extra $175 a month.”",Chuck Grassley,mostly-true
2014,“Corona PCR ‘test’ is implanting a microchip.”,Facebook posts,pants-fire
2015,There will be a “clown purge” on Oct. 30.,Viral image,false
2016,"“So now if you don’t comply” and get a COVID-19 vaccination, and you’re on “Social Security or disability, you won’t be able to receive your money.”",TikTok posts,false
2017,A video shows “the COVID-19 vaccine when it hits your blood.”,Instagram posts,pants-fire
2018,"The Freedom to Vote Act ""automatically registers ineligible voters.""",Heritage Action,false
2019,"COVID-19 vaccines contain “RNA-modifying transhumanism nanotechnology.""",Carrie Madej,pants-fire
2020,“The Canadian government threatens to fire any government employee who uses ‘Let's Go Brandon’ in communications.”,Facebook posts,pants-fire
2021,Says Christopher Miller is “in charge of the military.”,Facebook posts,pants-fire
2022,Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.,Hal Turner Radio Show,pants-fire
2023,"The FEMA health care workers replacing the noncompliant nurses and doctors are NOT required to get vaccinated via the CDC.""",Instagram posts,false
2024,“Mass media destroyed! Blackout for mass arrests event!”,Facebook posts,pants-fire
2025,A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.,Instagram posts,pants-fire
2026,"Desmond Tutu died on Oct. 20, 2021.",Tweets,pants-fire
2027,“The five most-endangered hospitals in the country are all in (North Carolina).”,Jeff Jackson,barely-true
2028,“Virginia has the lowest standards for math and reading of all 50 states.”,Glenn Youngkin,half-true
2029,"A new federal program “is giving homeowners up to $3,708 every year.”",Bloggers,pants-fire
2030,There is an “epidemic of plane crashes linked to vaccine-related strokes in pilots.”,Facebook posts,pants-fire
2031,Democrats “manufactured votes from low income voters to steal the battleground states.”,The Gateway Pundit,pants-fire
